term,OR,OR.L,OR.U,p.value
(Intercept),0.042635663747192125,0.027002365391218766,0.06365290121250608,1.2815961754868973e-47
gendermale,1.6626900625182797,1.0013803864143775,2.8438373405852184,0.05491127085567401
